id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17789583,Room in new home 14 minutes from downtown,2831749,Laura,,78752,30.33485,-97.69433,Private room,100,2,1,2019-11-03,0.15,1,0
17792048,East Side Private Bedroom,5067494,Holly,,78702,30.27828,-97.71804,Entire home/apt,76,1,0,,,1,0
17793570,The Anchor Room @ The Sanctuary,117382453,Sharyn,,78729,30.45396,-97.7848,Private room,35,2,8,2018-03-15,0.21,2,137
17794919,Peace Retreat Tiny House,121585763,Stacy,,78734,30.42517,-97.92688,Entire home/apt,95,2,145,2020-05-11,4.17,4,325
17803804,Cozy apartment. Close to UT and Downtown Austin,29644392,Silvia,,78757,30.32895,-97.7258,Entire home/apt,75,3,1,2017-04-20,0.03,1,0
17805832,Eclectic East Side Spot Close to Downtown,97336460,Jillian,,78702,30.26288,-97.73512,Private room,100,20,1,2017-03-27,0.03,1,0
17810347,Private house - 183 & 35,50456417,Stephen,,78752,30.33576,-97.70604,Entire home/apt,175,1,0,,,1,0
17831953,Comfortable and Cozy Bedroom,121704584,Daisy,,78705,30.28707,-97.7249,Entire home/apt,70,1,1,2017-03-27,0.03,1,0
17841264,Private Bedroom in Sunny Hyde Park Apartment,48599715,Sophia,,78751,30.30817,-97.72331,Private room,50,1,0,,,2,0
17841868,The Crow's Nest in Hyde Park,5628387,Chad And Kori,,78751,30.31034,-97.72804,Entire home/apt,179,3,21,2019-04-07,0.57,1,0
17858056,Spacious Updated Home in Scenic Neighborhood,121835191,Matt,,78750,30.42234,-97.80259,Entire home/apt,100,2,26,2020-03-15,0.71,1,83
